text,rating,label
"Amazon is an exceptional company that provides a wide range of products at competitive prices. Their efficient delivery service ensures that items are received promptly, often earlier than expected. The user-friendly website makes it easy to navigate and find exactly what you're looking for, with detailed product descriptions and reviews to help make informed decisions. Customer service is top-notch, always ready to assist with any inquiries or issues, making the overall shopping experience with Amazon a pleasant one.",5,1
I ordered a pair of Adidas trainers through Amazon TRY BEFORE BUY on 2 Nov 2022 for delivery for or by 9 Nov 2022The 9 Nov came and went without deliverySo did 10 and 11So I contacted Amazon to cancel itemThey told me to tell the courier when it arrives that it had been cancelled and they would take it backThis is exactly what happened on 12 Nov 2022But this is where it gets obsurdI have been getting demands for payment of the item that has been cancelled/returned to Amazon for the past 20 days Sometimes 2 a dayI have made 24 phone calls and over 75 emails to Amazon Customer Service in the past 20 days who have done absolutely nothing about this issueIn the words of Star WarsMay the farce be with you,1,0
It's amazingly one of the best in purchase and delivery.Recently I made an order for a necklace and was able to receive exactly what I ordered for.They are so professional and good customer care services,4,1
Amazon is not what it was! It turns out Amazon has no control over their sellers and lets them do whatever they want and place their own policies. It is misleading and unfair to the buyer to shop from Amazon website only to find out at the end that the purchase is not covered by Amazon protection.,1,0
"Repeatedly value and service, one of first places to look online.",5,1
"Perfect site, I know I am in good hands if something isn't right! I get refunded if something is wrong and its easy enough, just drop it off at the post office and get refunded not long after. If something does go wrong and I need to talk to someone, there is a live chat that helps, which allows you to go through it step-by-step. I haven't had any problems.",5,1
It's been a great journey shopping with Amazon .All my orders are delivered on time .The quality is great.,4,1
"Over a month for a refund, different delivery on another, online says a between time for delivery, kept changing throughout the day until way into the night, changing time every 30-45 minutes, up to 11 pm turning on extra lights outside so that they know where to deliver in the dark, only to say after 11pm...tomorrow  up till 10pm..MUST GO THRU THIS AGAIN...because porch pirates",1,0
Terrible customer service! amazon prime free trial was not free at all. Shame one you.,1,0
Amazon Are the best place to shop online hands down,5,1
DO NOT BUY FROM AMAZON AND DO NOT WASTE YOUR MONEY FOR PRIME. Most item with logo PRIME is highly overpriced. U pay extra money for next day delivery but in most cases u have to wait a week. THAT'S AMAZON PRIME!!!!! Avoid them. I have ordered backlighted keyboard which was much overpriced compared to prices on Ebay. But i paid extra as a prime member cause i want it faster . And u know what? - in day of delivery (next day as advertised) i didn't get my item but i get an mail that my delivery will be delayed for few days. That's AMAZON PRIME STANDARDS!!!!So please think twice before u paid extra on Amazon. I'm ensure u that delivery times on ebay are fast and prices are much much lower ALMOST ON EVERYTHING. That was a very bad experience with AMAZON.  But i want to be sure that people will be know that PRIME in Amazon doesn't mean fast. SAVE YOUR MONEY,1,0
"Personally, after reading some reviews I've realised I had such a pleasant experience . The only problem being a delayed delivery which I was notified about. Otherwise very GREAT",4,1
It's always reliable,5,1
Amazon double charges customers!!!! They are a bunch of thieves.,1,0
Worst ever. Constantly transfer calls to overseas call center,1,0
Amazon guy calls me at 11:35 pm while I’m sleeping to tell me about an item to deliver. Seriously amazon? Delivering items at midnight?,1,0
Review text not found,4,1
"Waited in all day for a delivery, it never arrived, gave me 3 different delivery times, waste of time, had stuff to do today, but thought I had this delivery coming, amazon has gone right down the pan, only know that the delivery is not coming as just spoke to the online customer service, want to give me £5 😂😂 for my wasted time, what a joke ",1,0
"This was the 30th+ time that my Prime delivery was NOT delivered to my door.They even lied that it ""was handed to resident""!To have done that they would have been asked ""can i help you"" by the building manager!Even worse the abysmal repetitive inane responses with illiteracy and illegibilty  thrown in.They think we are all non computer literate, and do not know they use templates and standard responses.I live in a small sheltered housing scheme, only 15 flats, mine on the ground floor. Access via intercom.Yet can they be bothered to deliver properly? 65% of time if lucky.I have advised that I will not renew my ""prime"" when due for renewal. And that I am a 20 years + customer.",1,0
"Ive started doing all my shopping on line now given my health. I found amazon very dependable and the delivery people so much friendlier than others. I think that they should look at their packaging though, its a bit silly sometimes",4,1
Excellent service and rapid world wide delivery.,5,1
"One of the best, I shopping with them.",4,1
Absolutely disgraceful and illegal. I live in flats item not delivered and amazon refused to issue refund or replace. I told them before to ensure delivery is not anywhere other than my exact address they won't provide proof of where it was delivered nor refund telling me to go to the police!! Police will do nothing I'm over twenty pounds down they refuse to take it up with delivery people and have not fulfilled contact absolutely disgraceful,1,0
"I ordered an item twice and still did not receive it. And Amazon won't give me my refund ($78) although it's their fault. First time it says it was delivered at another address (apparently delivered at a keyfood that's not even remotely close to me yet they said it was signed by me, mind you I wasn't even home. 2nd time it was left in the mailboxes area WHICH IS NOT A SECURE AREA IN THIS BUILDING SINCE ANYONE CAN GET TO THE ""MAILROOM"" (Which is a hallway near the laundryroom by the way). Hence I did not find it when I got home. When my packages used to be delivered by post office or UPS. I never had issues with not finding my stuff. Since Amazon is doing it OWN DELIVERY now. I have an issue with my package at least 80% of the time. Now I lost my money because they won't refund it. When it's their fault for hiring DELIVERY DRIVERS THAT PROBABLY DIDN'T FINISH HIGHSCHOOL SINCE SOME OF THEM CAN'T EVEN READ AN ADDRESS CORRECTLY",1,0
"My experience with them was bad and…My experience with them was bad and don’t think they deserve to get any rating at all. It is just unfortunate that there is no option for no rating. They act so unprofessional with trader clients and in the end they milk you more and more till you’re dry. That was my experience with them and it really affected my financial stability. I invested because I wanted to make profit from my pension fund but reverse was the case. I did not only loose profit, I lost my pension too. It was chance that smiled on me when a friend told me about charlottemason922@ya hoo.comThey got my money and other details for the process. To my greatest surprise ever, i got my whole amount. That was a huge relief.Before investing your hard earned money think well.",1,0
"Ordered my ps5 and a headset Delivery driver I see through window from loft drops off my headset without knocking gets back in their van as I see a notification say attempted delivery on my ps5 no knocks on the door no door bell rang and just drove off, drivers are untrustworthy",1,0
"I have used Amazon for many years and customer service has always been top of the line. I have always reveived my products as promised. If I ever had a problem I have recieved good help within just a few minutes. I have shopped from the US, the UK and sweden and all have shown the same abilities. Amazon prime and audible is equally good.I strongly rekommend Amazon",5,1
I tried to leave a product review and since I don't use a credit or debit card Amazon won't let me. I have spent a lot of money on this website and I am very disappointed. I will quit using amazon completely. I will spend more money on items instead of going through this website.,1,0
They wont give me access to my account because I cannot receive the code to my mobile phone. What a joke. I can get the code via email but that is not enough. I am sure other people have this issue and they can do something at there end.,1,0
Review text not found,5,1
"This business conduct by Amazon is UNBELIEVABLE and UNACCEPTABLE Our company UVILITE is unable to sell on Amazon. Our account got approved in April and we can't login ever since.Gettin same error every time - ""Internal ErrorWe're sorry but we encountered an error while processing your request.""We sent 100s messages to seller support and NOBODY was able to help and fix it. We changed passwords, cookies, parental controls, loggin in and out 100 times... None of the seller support recommendations were valid and solved the issue.Its been almost 3 MONTHS now. UPDATE:Today we got email saying ""Thank you for your patience with our verification process. Case closed” WE HAVE BEEN VERIFIED in APRIL!!!!Please advise.Regards,Irena Prager",1,0
"Offer zero help with rubbish purchases, worse still they charge for simply delivering a so called Prime delivery service.",1,0
"Stop getting in the way of my business. I have given clear delivery instructions at every studio that I have been at. I've even moved in part in hopes that my deliveries would simply arrive how I need them to, but no. Not even after several complaints, these fXcking id1ots think it's funny to leave my packages in the unsafe mail room. I fxcking told you, again and again. Sh17 only arrives maybe 80% of the time and 90% of that time is spent just hunting down boxes that wind up who the fxck knows where. Fxck you for wasting my time and contributing to my very uncomfortable stress issues. I hate your sh17ty service. eat sh17 and die.",1,0
Call Amazon care 63.7158.5.331. support me ❤️ Subscribe and support to my house and tomorrow will be on the world of,1,0
"I ordered two pairs of tennis shoes in two different sizes as gifts today.  Having failed to designate them as gifts, I called customer service about 5 hours after I placed the order.  The customer service representative rudely told me he couldn’t annotate my order, and that the shoes were not returnable.  Seriously?   I cancelled the order.",1,0
"I am a Prime user, have been for several years and buy a lot from Amazon. I have always found them to be reliable and when things have gone wrong they have been great at sorting things out. I can see why many people don't like the company which might might explain the poor score but for me their performance would not be a reason.I use Amazon for both personal and business related purchases, I probably have two or three deliveries a week and rarely does anything fail to arrive on time.Prices are variable and not always the best but on the whole I would say they are good and sometimes very good. Also there are app's to price watch so if you are after a particular item and not in a hurry you can often grab a bargain.Obviously things do go wrong but I've found Amazon are always quick to respond and I can't say I have ever felt they have not resolved things to my satisfaction.Examples are: Expensive headphones broke after one and a half years - Amazon gave me a full refund. Extract fans del",5,1
I waited 2 weeks on an order that never came the seller backed out Amazon did not stand by the A-Z guarantee they basically blew me off treated me as if my business wasn’t worth there time very disappointing,1,0
"I'm a very regular customer and when ever problems have happened its been sorted in minutes on Chat. Faulty goods replaced without quibble, long return times (my One Plus 6T I bought in November and can return to quibble till end of Jan - brilliant service.Having said all that I tend to avoid Marketplace sellers as they are often poor.",5,1
Review text not found,5,1
"1. No place to leave feed back for Amazon, just for products and sellers. 2. Your search engine (i use that term lightly) has become so difficult to refine it is unusable. I get that you want to sell us stuff we don't need or want. But hey, what about the stuff we do want? I just attempted to purchase an Iphone on amazon and I couldn't find it. I couldn't  refine by just the phones, Apple was not a choice for brand, and of course no price limits. Do you really think I'm going to go through thousands of items i don't want just to find what i'm looking for? who has that kind of time? I'm just going to Apple directly, i'd rather pay more and get what I want.",2,0
